semafororo;localizacao1;localizacao2;bairro;latitude;longitude;horario;tipo;funcionamento
397;Av. Norte Miguel Arraes de Alencar;Em frente ao Nº 886;Santo Amaro;-8.04493;-34.880372;06:00/21:00h;E/Git;Ocasional/Ped.
404;Estrada do Arraial;Rua Padre Lemos;Casa Amarela;-8.026759;-34.917731;05:00/20:30h;E/Git;Veic.c/Ped.Ocas.
407;Rua Barão de Souza Leão;Em frente ao Colégio Santos Dumont;Boa Viagem;-8.132167;-34.907281;05:00/22:00h;E/Git;Ocasional/Ped.
409;Rua Conde de Irajá;Praça da Torre;Torre;-8.047001;-34.913636;04:00/23:00h;E;Ocasional/Ped.
432;Rua Guilherme Pinto;Em frente ao Instituto dos Cegos;Graças;-8.052197;-34.902136;07:00/21:00h;E/Git;Ocasional/Ped.
439;Av. Mascarenhas de Morais;Em Frente ao Nº 2727;Imbiribeira;-8.106415;-34.911255;05:00/21:00h;E/Git;Ocasional/Ped.
443;Av. Visconde de Jequitinhonha;Rua Charles Darwin;Boa Viagem;-8.130714;-34.902615;05:00/21:00h;E/Git;Ocasional/Ped.
465;Av. Gov. Agamenon Magalhães;Em frente à Reitoria da FESP/UPE;Santo Amaro;-8.043816;-34.887198;06:00/21:00h;E/Git;Ocasional/Ped.
475;Av. Dois Rios;Rua Rio Chuí;Ibura;-8.115407;-34.940297;05:00/22:00h;E/Git;Ocasional/Ped.
480;Av. Beberibe;Em frente ao Nº 621;Encruzilhada;-8.03191;-34.892;05:00/20:00h;E/Git;Ocasional/Ped.
486;Av. Conde da Boa Vista;Rua Sete de Setembro;Boa Vista;-8.061073;-34.883421;07:00/19:30h;E/Git;Ocasional/Ped.
488;Praça da República;Em frente ao Palácio das Princesas;Santo Antônio;-8.060398;-34.877658;24h;E;Ocasional/Ped.
499;Rua Cosme Viana;Rua Pe. Teófilo Twortz;Ilha do Retiro;-8.064945;-34.909022;05:00/22:00h;E;Veic.c/Ped.Ocas.
503;Rua João Ivo da Silva;Próx. a Rua Teófilo Twortz;Prado;-8.065091;-34.90918;05:00/22:00h;E;Ocasional/Ped.
516;Praça do Derby;Estação BRT Derby (Sub/Cid);Derby;-8.056757;-34.899417;06:00/20:30h;E/Git;Ocasional/Ped.
539;Av. Dr. José Rufino;Rua Dorotéia Vieira;Barro;-8.093115;-34.943245;04:30/22:00h;E;Ocasional/Ped.
552;Praça do Derby;Estação BRT Derby;Derby;-8.056667;-34.899444;06:00/20:30h;E/Git;Ocasional/Ped.
578;Rua da Soledade;Rua do Progresso;Soledade;-8.058852;-34.889911;07:00/19:00h;E/Git;Veic.C/Ped.Ocas.
586;Rua Delmiro Gouveia;Em frente ao Prédio da CHESF;San Martin;-8.063632;-34.930486;24h;E;Ocasional/Ped.
597;Rua Odete Monteiro;Rua Dr. João Lacerda;Cordeiro;-8.045478;-34.92176;05:00/22:00h;E;Ocasional/Ped.
601;Rua José Bonifacio;Rua José de Holanda;Torre;-8.044731;-34.907491;05:00/22:00h;E/Git;Ocasional/Ped.
603;Av. Guararapes;Estação BRT Guararapes, (Sub/Cid);Santo Antônio;-8.063384;-34.879344;06:30/20:00h;E/Git;Pedestre
606;Av Caxangá;Estação BRT Pq. Do Cordeiro (Sub/Cid);Cordeiro;-8.046407;-34.92861;06:00/20:30h;E/Git;Ocasional/Ped.
607;Av Caxangá;Estação BRT Caiara, (Cid/Sub);Iputinga;-8.043293;-34.93376;06:30/20:00h;E/Git;Ocasional/Ped.
608;Av Caxangá;Estação BRT Riacho Cavoco (Sub/Cid);Várzea;-8.036567;-34.946324;06:30/20:00h;E/Git;Pedestre
609;Av Caxangá;Estação BRT Eng. Poeta, (Cid/Sub);Caxangá;-8.034399;-34.949951;06:30/20:00h;E/Git;Ocasional/Ped.
610;Av Caxangá;Estação BRT Caiara, (Sub/Cid);Iputinga;-8.043459;-34.933822;06:30/20:00h;E/Git;Ocasional/Ped.
627;Av. Cruz Cabugá;Em frente ao nº 665;Santo Amaro;-8.048978;-34.878004;24h;E/Git;Ocasional/Ped.
